,MarketCap,Market Category
MMM,92795977728,P
ABT,1.56093E+11,P
ABBV,1.20235E+11,P
ABMD,8323439616,P
ACN,1.31011E+11,P
ATVI,46391377920,P
ADBE,1.71767E+11,P
AMD,54928379904,P
AAP,9322315776,P
AES,13324332032,P
AFL,38557962240,P
A,25987131392,P
APD,52393369600,P
AKAM,15188069376,P
ALK,8034027520,P
ALB,8437045760,P
ARE,21237999616,P
ALXN,22826168320,P
ALGN,20079187968,P
ALLE,12038274048,P
AGN,61440323584,P
ADS,4824387072,P
LNT,14168750080,P
ALL,38516748288,P
GOOGL,9.92557E+11,P
GOOG,9.92662E+11,P
MO,88568045568,P
AMZN,9.19416E+11,P
AMCR,17319297024,P
AEE,20029302784,P
AAL,11473618944,P
AEP,51069698048,P
AXP,1.0628E+11,P
AIG,44010872832,P
AMT,1.03781E+11,P
AWK,24650614784,P
AMP,21146828800,P
ABC,17942702080,P
AME,22454689792,P
AMGN,1.334E+11,P
APH,30043535360,P
ADI,41038753792,P
ANSS,23623233536,P
ANTM,66940895232,P
AON,50663915520,P
AOS,6951017984,P
APA,10421837824,P
AIV,7923659264,P
AAPL,1.40477E+12,P
AMAT,54698565632,P
APTV,22263666688,P
ADM,25368180736,P
ARNC,13033307136,P
ANET,17500719104,P
AJG,18545983488,P
AIZ,7870526976,P
ATO,14215053312,P
T,2.70469E+11,P
ADSK,43432312832,P
ADP,73428844544,P
AZO,25606572032,P
AVB,30330396672,P
AVY,11186883584,P
BKR,22307819520,P
BLL,23613452288,P
BAC,2.90974E+11,P
BK,40539742208,P
BAX,45625835520,P
BDX,76083904512,P
BBY,22376445952,P
BIIB,50236858368,P
BLK,82985680896,P
BA,1.79587E+11,P
BKNG,78348009472,P
BWA,7198345728,P
BXP,21985701888,P
BSX,60477849600,P
BMY,1.49149E+11,P
AVGO,1.23117E+11,P
BR,14722839552,P
CHRW,9797510144,P
COG,5798653952,P
CDNS,20253202432,P
CPB,14651383808,P
COF,46043541504,P
CPRI,4752241152,P
CAH,15390717952,P
KMX,15970882560,P
CCL,31602743296,P
CAT,73864011776,P
CBOE,13576038400,P
CBRE,20530339840,P
CDW,19093766144,P
CE,13215154176,P
CNC,36634075136,P
CNP,13319457792,P
CTL,15116039168,P
CERN,22442229760,P
CF,8734242816,P
SCHW,59964321792,P
CHTR,1.04981E+11,P
CVX,2.07599E+11,P
CMG,24410578944,P
CB,69117829120,P
CHD,17819865088,P
CI,73041928192,P
XEC,4564142592,P
CINF,17195929600,P
CTAS,28892579840,P
CSCO,1.99918E+11,P
C,1.60629E+11,P
CFG,16125093888,P
CTXS,15867307008,P
CLX,19516971008,P
CME,77460373504,P
CMS,19233132544,P
KO,2.51114E+11,P
CTSH,33669834752,P
CL,59101749248,P
CMCSA,1.98939E+11,P
CMA,8763060224,P
