,MarketCap,Market Category
AAME,40959000.0,G
AAOI,243555008.0,G
ABTX,775382656.0,G
ACIU,641376704.0,G
ACMR,665991872.0,G
ACRX,140446336.0,G
ADES,207638016.0,G
ADMA,246764528.0,G
ADMS,147088656.0,G
ADVM,699488064.0,G
AERI,979468160.0,G
AEY,22276796.0,G
AFMD,210389008.0,G
AGLE,215652128.0,G
AGTC,132629952.0,G
AIH,179694176.0,G
AIRT,64255752.0,G
AIRTP,598614144.0,G
AIRTW,182665.0,G
AKBA,931323712.0,G
ALJJ,51872544.0,G
ALOT,90490496.0,G
ALPN,55205768.0,G
ALT,28327936.0,G
ALTM,675852288.0,G
AMAL,543005184.0,G
AMOT,451100256.0,G
AMRN,7043550208.0,G
AMTX,18504952.0,G
ANIP,742206016.0,G
APEN,60738472.0,G
APLT,923059008.0,G
APM,430300160.0,G
APPF,4301220352.0,G
APPN,3439246336.0,G
AQST,134357584.0,G
ARCT,163641792.0,G
ARDX,485007136.0,G
ARKR,77815760.0,G
ASLN,51150680.0,G
ASPU,185164432.0,G
ASRV,70790288.0,G
ASRVP,,G
ATRC,1583206528.0,G
AUBN,206480096.0,G
AUPH,2029151616.0,G
AVDL,264024624.0,G
AWRE,76647680.0,G
AXLA,117981576.0,G
AXSM,3339511296.0,G
BBGI,106481736.0,G
BCBP,240330496.0,G
BKEP,47343660.0,G
BKEPP,226477616.0,G
BLBD,529005536.0,G
BLCM,69894576.0,G
BLDP,2315225600.0,G
BMLP,29005406208.0,G
BNFT,607323264.0,G
BOCH,199869744.0,G
BRID,195560304.0,G
BSQR,18175220.0,G
BWAY,120837040.0,G
BWFG,218453056.0,G
CAMT,476282048.0,G
CAN,877721408.0,G
CARA,758066944.0,G
CATB,67008092.0,G
CBAN,144286464.0,G
CBFV,161890832.0,G
CDLX,2211463424.0,G
CDNA,1034547200.0,G
CDTX,121947480.0,G
CDZI,250193920.0,G
CERS,604588672.0,G
CGEN,472191264.0,G
CHRS,1324742400.0,G
CIFS,19011578.0,G
CIZN,119985576.0,G
CLCT,222655104.0,G
CLFD,184376256.0,G
CLLS,672343552.0,G
CLPS,50834660.0,G
CLSD,147057216.0,G
CLUB,65744532.0,G
CLXT,194841040.0,G
CMBM,188412832.0,G
CMCT,224142240.0,G
CMCTP,891665280.0,G
CMLS,251940080.0,G
CMRX,109874312.0,G
CNCE,262014784.0,G
CNFR,37618096.0,G
CNFRL,,G
CNTG,222843792.0,G
CPHC,58049020.0,G
CPSS,79984696.0,G
CRBP,430721504.0,G
CRIS,54784784.0,G
CRON,2585410560.0,G
CRSP,3078312704.0,G
CRVS,184556960.0,G
CSPI,59743804.0,G
CSSE,96806120.0,G
CSSEP,91087736.0,G
CSTL,511024832.0,G
CVLY,217656352.0,G
CWBC,94208640.0,G
CYAD,167275760.0,G
CYBE,165659360.0,G
CZWI,135011008.0,G
DGLD,,G
DOGZ,29541504.0,G
DOMO,695254208.0,G
DRAD,5777446.0,G
DRADP,,G
DSLV,,G
DSWL,45358320.0,G
DTEA,37095764.0,G
DUO,973461888.0,G
DXYN,22744538.0,G
EBMT,145242352.0,G
EDAP,116861544.0,G
EDUC,48647472.0,G
EGRX,772559488.0,G
EH,612063104.0,G
EIGR,308637024.0,G
